Region,Workload,Filename,Total Connection Time,Time to First Byte,Download Time,Total Time
India,WEB,1mb,0:00:00.001217,0:00:00.001303,0:00:03.437116,0:00:03.438419
India,VIDEO,50mb,0:00:00.000886,0:00:00.000915,0:00:03.986829,0:00:03.987744
India,VIDEO,10mb,0:00:00.000844,0:00:00.000915,0:00:00.098638,0:00:00.099553
India,VIDEO,1mb,0:00:00.000789,0:00:00.000843,0:00:03.393496,0:00:03.394339
India,VIDEO,10mb,0:00:00.000813,0:00:00.000873,0:00:03.473796,0:00:03.474669
India,VIDEO,1mb,0:00:00.000841,0:00:00.000878,0:00:03.483498,0:00:03.484376
India,VIDEO,1mb,0:00:00.001130,0:00:00.001186,0:00:03.463383,0:00:03.464569
India,VIDEO,50mb,0:00:00.000900,0:00:00.000960,0:00:00.469738,0:00:00.470698
India,VIDEO,1mb,0:00:00.001559,0:00:00.001735,0:00:03.502091,0:00:03.503826
India,VIDEO,10mb,0:00:00.000799,0:00:00.000878,0:00:00.129303,0:00:00.130181
India,VIDEO,1mb,0:00:00.000845,0:00:00.000936,0:00:00.016061,0:00:00.016997
India,VIDEO,50mb,0:00:00.000835,0:00:00.000894,0:00:03.942601,0:00:03.943495
India,VIDEO,1mb,0:00:00.001255,0:00:00.001345,0:00:03.429480,0:00:03.430825
India,VIDEO,100mb,0:00:00.000854,0:00:00.000922,0:00:04.485712,0:00:04.486634
India,VIDEO,100mb,0:00:00.001245,0:00:00.001316,0:00:04.525553,0:00:04.526869
India,VIDEO,10mb,0:00:00.000860,0:00:00.000950,0:00:03.497978,0:00:03.498928
India,VIDEO,50mb,0:00:00.000838,0:00:00.000896,0:00:04.406389,0:00:04.407285
India,VIDEO,50mb,0:00:00.001229,0:00:00.001285,0:00:00.521119,0:00:00.522404
India,VIDEO,10mb,0:00:00.001562,0:00:00.001569,0:00:00.125196,0:00:00.126765
India,VIDEO,1mb,0:00:00.000844,0:00:00.000901,0:00:03.609360,0:00:03.610261
India,VIDEO,50mb,0:00:00.002019,0:00:00.002025,0:00:03.844625,0:00:03.846650
India,VIDEO,100mb,0:00:00.001045,0:00:00.001100,0:00:04.367125,0:00:04.368225
India,VIDEO,1mb,0:00:00.000814,0:00:00.000868,0:00:00.016606,0:00:00.017474
India,VIDEO,100mb,0:00:00.000840,0:00:00.000908,0:00:04.420485,0:00:04.421393
India,VIDEO,1mb,0:00:00.001485,0:00:00.001542,0:00:03.658098,0:00:03.659640
India,VIDEO,1mb,0:00:00.001508,0:00:00.001733,0:00:00.015492,0:00:00.017225
India,VIDEO,100mb,0:00:00.000862,0:00:00.000939,0:00:04.551466,0:00:04.552405
India,VIDEO,100mb,0:00:00.000830,0:00:00.000885,0:00:04.634960,0:00:04.635845
India,VIDEO,100mb,0:00:00.000946,0:00:00.000997,0:00:04.504000,0:00:04.504997
India,VIDEO,100mb,0:00:00.000932,0:00:00.001026,0:00:01.063109,0:00:01.064135
India,VIDEO,50mb,0:00:00.000870,0:00:00.000877,0:00:03.858045,0:00:03.858922
India,VIDEO,10mb,0:00:00.001488,0:00:00.001502,0:00:03.608871,0:00:03.610373
India,VIDEO,1mb,0:00:00.001455,0:00:00.001744,0:00:00.018523,0:00:00.020267
India,VIDEO,10mb,0:00:00.000793,0:00:00.000854,0:00:03.506481,0:00:03.507335
India,VIDEO,100mb,0:00:00.000850,0:00:00.000939,0:00:04.675219,0:00:04.676158
India,VIDEO,10mb,0:00:00.001085,0:00:00.001139,0:00:03.509358,0:00:03.510497
India,VIDEO,1mb,0:00:00.001388,0:00:00.001751,0:00:03.452753,0:00:03.454504
India,VIDEO,50mb,0:00:00.000847,0:00:00.000908,0:00:00.478241,0:00:00.479149
India,VIDEO,1mb,0:00:00.000792,0:00:00.000847,0:00:03.401483,0:00:03.402330
India,VIDEO,10mb,0:00:00.001364,0:00:00.001540,0:00:03.473948,0:00:03.475488
India,VIDEO,10mb,0:00:00.000828,0:00:00.000886,0:00:03.532884,0:00:03.533770
India,VIDEO,100mb,0:00:00.001115,0:00:00.001123,0:00:04.550550,0:00:04.551673
India,VIDEO,100mb,0:00:00.001094,0:00:00.001146,0:00:01.066179,0:00:01.067325
India,VIDEO,100mb,0:00:00.000842,0:00:00.000869,0:00:04.597238,0:00:04.598107
India,VIDEO,10mb,0:00:00.000772,0:00:00.000824,0:00:03.558159,0:00:03.558983
India,VIDEO,10mb,0:00:00.001277,0:00:00.001330,0:00:03.534710,0:00:03.536040
India,VIDEO,100mb,0:00:00.000979,0:00:00.001049,0:00:04.413598,0:00:04.414647
India,VIDEO,1mb,0:00:00.000831,0:00:00.000879,0:00:03.523704,0:00:03.524583
India,VIDEO,50mb,0:00:00.001024,0:00:00.001052,0:00:03.894662,0:00:03.895714
India,VIDEO,100mb,0:00:00.000803,0:00:00.000828,0:00:04.466039,0:00:04.466867
India,VIDEO,100mb,0:00:00.000841,0:00:00.000895,0:00:04.518101,0:00:04.518996
India,VIDEO,50mb,0:00:00.001019,0:00:00.001079,0:00:03.946170,0:00:03.947249
India,VIDEO,10mb,0:00:00.000813,0:00:00.000869,0:00:03.526120,0:00:03.526989
India,VIDEO,100mb,0:00:00.000864,0:00:00.000922,0:00:04.472301,0:00:04.473223
